Item	Answer
1. Lang Name (In Local Lang)	Me'phaa Xma'íín
2. Lang Name (In English)	Teocuitlapa Me'phaa
3. Lang Name (In Reg/Ntnl Lang)	Me'phaa de Teocuitlapa
4. Ethnologue code	tpx
5. Country	Mexico
6. Variant info	ROD=2506
7. Game Name (In Local Lang)	Mu̱'tsíin (me'phaa Xma'íín)
8. Script direction (LR or RL)	LR
9. Audio and photos credits	Imágenes diseñadas por Freepik (https://www.flaticon.es/autores/freepik) desde Flaticon (https://www.flaticon.es/). Compartidas con permiso. Audio compartido con permiso: mil gracias a Benito Apolinar Antonio, Catalina Antonio García, Leticia Eleucadio Cortez, Gregorio Leocadio Marcelino, Sandra Leocadio Martínez, Anabel Macario Flores, Emiliano Macedonio Flores, y Lety Morales Melo.
10. The word NAME in local language	mbi'i
